al,tl_2012_01001_roads
al,tl_2012_01003_roads
al,tl_2012_01005_roads
al,tl_2012_01007_roads
al,tl_2012_01009_roads
al,tl_2012_01011_roads
al,tl_2012_01013_roads
al,tl_2012_01015_roads
al,tl_2012_01017_roads
al,tl_2012_01019_roads
al,tl_2012_01021_roads
al,tl_2012_01023_roads
al,tl_2012_01025_roads
al,tl_2012_01027_roads
al,tl_2012_01029_roads
al,tl_2012_01031_roads
al,tl_2012_01033_roads
al,tl_2012_01035_roads
al,tl_2012_01037_roads
al,tl_2012_01039_roads
al,tl_2012_01041_roads
al,tl_2012_01043_roads
al,tl_2012_01045_roads
al,tl_2012_01047_roads
al,tl_2012_01049_roads
al,tl_2012_01051_roads
al,tl_2012_01053_roads
al,tl_2012_01055_roads
al,tl_2012_01057_roads
al,tl_2012_01059_roads
al,tl_2012_01061_roads
al,tl_2012_01063_roads
al,tl_2012_01065_roads
al,tl_2012_01067_roads
al,tl_2012_01069_roads
al,tl_2012_01071_roads
al,tl_2012_01073_roads
al,tl_2012_01075_roads
al,tl_2012_01077_roads
al,tl_2012_01079_roads
al,tl_2012_01081_roads
al,tl_2012_01083_roads
al,tl_2012_01085_roads
al,tl_2012_01087_roads
al,tl_2012_01089_roads
al,tl_2012_01091_roads
al,tl_2012_01093_roads
al,tl_2012_01095_roads
al,tl_2012_01097_roads
al,tl_2012_01099_roads
al,tl_2012_01101_roads
al,tl_2012_01103_roads
al,tl_2012_01105_roads
al,tl_2012_01107_roads
al,tl_2012_01109_roads
al,tl_2012_01111_roads
al,tl_2012_01113_roads
al,tl_2012_01115_roads
al,tl_2012_01117_roads
al,tl_2012_01119_roads
al,tl_2012_01121_roads
al,tl_2012_01123_roads
al,tl_2012_01125_roads
al,tl_2012_01127_roads
al,tl_2012_01129_roads
al,tl_2012_01131_roads
al,tl_2012_01133_roads
ak,tl_2012_02013_roads
ak,tl_2012_02016_roads
ak,tl_2012_02020_roads
ak,tl_2012_02050_roads
ak,tl_2012_02060_roads
ak,tl_2012_02068_roads
ak,tl_2012_02070_roads
ak,tl_2012_02090_roads
ak,tl_2012_02100_roads
ak,tl_2012_02105_roads
ak,tl_2012_02110_roads
ak,tl_2012_02122_roads
ak,tl_2012_02130_roads
ak,tl_2012_02150_roads
ak,tl_2012_02164_roads
ak,tl_2012_02170_roads
ak,tl_2012_02180_roads
ak,tl_2012_02185_roads
ak,tl_2012_02188_roads
ak,tl_2012_02195_roads
ak,tl_2012_02198_roads
ak,tl_2012_02220_roads
ak,tl_2012_02230_roads
ak,tl_2012_02240_roads
ak,tl_2012_02261_roads
ak,tl_2012_02270_roads
ak,tl_2012_02275_roads
ak,tl_2012_02282_roads
